cat,author,permlink,author_reputation,rep_group,created,day,percent,total_payout_value
Независимые авторы,rualev,101-vopros-russkoi-istorii,46.111918299002184,25-20,2018-01-29T02:37:21Z,29,0.0,0.0
Независимые авторы,paganel-club,zagadki-zhaka-paganelya-otvet-na-zagadku-172,72.04600846520245,70+,2018-01-29T02:37:27Z,29,0.014565571095995222,36.8
Независимые авторы,kristiy,thrns-znakomstvo,35.7277191054645,25-20,2018-01-29T02:57:33Z,29,0.0,0.0
Независимые авторы,itstudent,14-priemov-otlichnogo-nachala-dnya-2018-01-29-08-13-25,56.10740407584234,50-60,2018-01-29T03:13:30Z,29,0.0,0.0
Независимые авторы,onotolle,art-sisechnye-derevya,56.75913143738178,50-60,2018-01-29T03:17:09Z,29,0.0,0.0
Независимые авторы,soroka,kostyumchik-krasnym-ne-isportish,63.780360244485095,60-65,2018-01-29T03:22:18Z,29,5.0267052423679166e-05,0.127
Независимые авторы,bonika,rossiiskii-serial-khor-skoro-na-pervom,44.7874929256198,25-20,2018-01-29T03:28:42Z,29,7.520267685432316e-06,0.019
Апвот 50-50,mimocrocodil,o-vremeni-i-chasakh,76.23906260044025,70+,2018-01-29T03:30:54Z,29,0.04875904085096879,123.19
Vox Populi,istfak,muzei-kino-v-zapadnoevropeiskoi-kulturnoi-tradicii,76.2856235583628,70+,2018-01-29T03:43:03Z,29,0.03792273091982322,95.81200000000001
Независимые авторы,andreytrushnikov,188-197-den,55.08520826785746,50-60,2018-01-29T03:49:03Z,29,0.0,0.0
Независимые авторы,habreplicator,panel-upravleniya-uslugami-chast-2-na-puti-k-frontendu-347154,67.47184170604365,65-70,2018-01-29T03:53:48Z,29,0.0,0.0
Независимые авторы,lamagic,5eygmt-iskusstvo,53.61332394141243,50-60,2018-01-29T03:54:45Z,29,0.0,0.0
Апвот 50-50,amalinavia,skvorec-igrayu-s-tushyu,75.4699676242864,70+,2018-01-29T03:56:06Z,29,2.232927380444061,5641.504
Независимые авторы,varya-davydova,butik-otiel-kristal-palas-4-,67.30506698811766,65-70,2018-01-29T03:59:03Z,29,0.006251321464406211,15.794
Независимые авторы,diimazavr,docademic-proekt-iz-sektora-zdravookhraneniya-ico-live,59.02092057324603,50-60,2018-01-29T04:00:03Z,29,0.0,0.0
Независимые авторы,grushenka,kuda-nuzhno-obyazatelno-poekhat-v-god-sobaki,63.429426107412084,60-65,2018-01-29T04:00:06Z,29,1.8206963869994028e-05,0.046
Независимые авторы,ohlamoon,dazhe-v-ponedelnik-ostanemsya-detmi,71.09450698675546,70+,2018-01-29T04:02:51Z,29,3.1664284991293965e-05,0.08
Независимые авторы,dobrotanya,fotografiya-schaste-belolapyi,51.98153405922513,50-60,2018-01-28T20:08:42Z,28,0.0006779673284746826,1.139
Независимые авторы,pisatel,re-pisatel-ce2014m1231wed123000-20180129t013452497z,29.486157078902067,25-20,2018-01-28T20:34:51Z,28,0.0,0.0
Независимые авторы,yura81,vnimanie-u-memeusa-poyavilsya-minimum-vyvodimykh-tokenov,33.8961415384427,25-20,2018-01-28T20:50:24Z,28,0.0,0.0
Независимые авторы,onecoin,strasti-vokrug-skandalno-izvestnoi-kompanii-onecoin-onelife,0.0,0-25,2018-01-28T21:24:09Z,28,0.0,0.0
Независимые авторы,dr-orlovsky,internet-drama-vo-mnogikh-chastyakh-ili-pri-chem-tut-bitkoin-korporacii-blokchein-i-gosudarstva,55.915580932523945,50-60,2018-01-28T21:41:42Z,28,0.0,0.0
Апвот 50-50,perpetuummobile,idealnaya-zima,56.72692551885149,50-60,2018-01-28T21:52:48Z,28,7.976086217349207e-05,0.134
Независимые авторы,romannn,29-01-2018-airdrop-1000,42.721751768188064,25-20,2018-01-28T22:31:39Z,28,0.0,0.0
Апвот 50-50,learningninja,polipoliglotnost-metodologiya-gold-list-vs-iversen-s-word-lists-vs-srs-anki-chast-1,72.71663356905862,70+,2018-01-28T22:36:21Z,28,2.9619993776748017,4976.224
Апвот 50-50,denver74,nizhnii-novgorod,55.21165515243083,50-60,2018-01-28T22:40:24Z,28,0.0,0.0
Независимые авторы,abcalan,sensacii-goloe-platya-dlya-zhenikha,45.63515647523819,25-20,2018-01-28T22:46:45Z,28,0.0,0.0
Независимые авторы,drakulaura,skara-skrims,37.837575415791484,25-20,2018-01-28T23:00:39Z,28,0.0,0.0
Независимые авторы,whoib,milkdrop-2-0-winamp-vizualizacii-milkdrop-2-0-winamp-visualizations,31.369333970539717,25-20,2018-01-28T23:28:48Z,28,0.0,0.0
Независимые авторы,duosre,datecoin-pervyi-v-mire-deiting-servis-otkryto-private-sale-na-specialnykh-usloviyakh,49.04081087297902,25-20,2018-01-28T23:40:15Z,28,0.0,0.0
Апвот 50-50,spinner,vesti-s-vodoemov-za-proshedshuyu-nedelyu-21-01-2018-28-01-2018,78.58484634070102,70+,2018-01-29T00:16:54Z,29,2.6424740341285817,6676.226
Независимые авторы,evgeny-zaikin,kak-ya-provel-etim-letom,41.47947841829637,25-20,2018-01-29T00:23:30Z,29,0.0,0.0
Независимые авторы,naiger,velozarisovki,59.2016811473757,50-60,2018-01-29T00:40:51Z,29,3.1664284991293965e-05,0.08
Независимые авторы,prizrak-spb,audioskazka-angel-cherdachnogo-okna,43.665198224458855,25-20,2018-01-29T00:43:30Z,29,1.0290892622170538e-05,0.026000000000000002
Независимые авторы,dobryj.kit,ezhednevnaya-statistika-top-250-avtorskikh-vyplat-za-28-01-2018g,70.14509661674295,70+,2018-01-29T01:00:27Z,29,0.00024262758374579,0.613
Независимые авторы,zlata777,poeticheskii-konkurs-o-vremeni-i-chasakh-vremya,63.74934821640231,60-65,2018-01-29T01:25:12Z,29,3.958035623911745e-05,0.1
Независимые авторы,svetozarhobbot,akvarel,56.996913313107946,50-60,2018-01-29T01:42:21Z,29,0.0,0.0
Независимые авторы,habreplicator,kak-mne-udalos-vzlomat-prilozhenie-344922,67.47067428431376,65-70,2018-01-29T01:51:48Z,29,0.0,0.0
Независимые авторы,svetlana2018,letargicheskii-son,27.000916684755566,25-20,2018-01-29T01:59:03Z,29,0.0,0.0
Независимые авторы,balakinaann,cherno-beloe-kino,58.927481501967094,50-60,2018-01-29T02:03:36Z,29,0.0,0.0
Апвот 50-50,investor-code,nablyudeniya-i-remarki-20-glyanul-na-dnyakh-kinco-vysotka,68.69792075685906,65-70,2018-01-29T02:05:57Z,29,1.949117227638594,4924.456
Независимые авторы,coinduck,coincheck-vozmestit-ubytki-a-nem-pomozhet-otsledit-dengi,46.79518461487855,25-20,2018-01-29T02:14:48Z,29,0.0,0.0
Апвот 50-50,podmod,bradikordiya-i-lunatizm,33.69945111748918,25-20,2018-01-29T02:27:33Z,29,0.0,0.0
Независимые авторы,moranor,29ay7y,62.00326316375976,60-65,2018-01-29T02:33:48Z,29,0.0010504626545861772,2.654
Независимые авторы,uralsvx,vkusnoe-domodedovo-ili-vtoraya-chast-spottinga,38.80732661699968,25-20,2018-01-29T02:34:24Z,29,0.0,0.0
Апвот 50-50,vredinka2345,proizvodstvo-bolee-legkikh-avtomobilei-na-osnove-magnievogo-splava,72.11764199704803,70+,2018-01-29T02:35:00Z,29,2.5296383545621057,6391.146
Независимые авторы,kristino4ka130,2ldwx6-estafeta-cveta-krasnyi-ponedelnik,62.29737913418059,60-65,2018-01-29T02:35:39Z,29,0.0007472771257945376,1.8880000000000001
Независимые авторы,botopolo,vnzh-po-predstavitelstvu-vnzh-bez-prava-na-rabotu,43.77890507223535,25-20,2018-01-29T02:36:42Z,29,0.0,0.0
PSK,linkion,nespravedlivost-smeshannykh-obshestv-o-demokratii,53.8621827241753,50-60,2018-01-29T02:39:51Z,29,0.10728215978256549,271.04900000000004
Независимые авторы,hodlweek,v-yaponii-za-bitkoiny-mozhno-kupit-nedvizhimost,55.579725890931456,50-60,2018-01-29T02:44:39Z,29,0.0,0.0
Независимые авторы,naiger,4s9ka9-velozarisovki,59.2016811473757,50-60,2018-01-29T02:45:42Z,29,3.1664284991293965e-05,0.08
Независимые авторы,bitrun,obzor-rynka-kriptovalyut-na-29-yanvarya-2018,49.91340287479552,25-20,2018-01-29T02:55:21Z,29,0.0,0.0
Независимые авторы,ironara,ruanaya-pesn-zvezd-prodolzhenie,25.567372430353508,25-20,2018-01-29T02:57:24Z,29,0.0,0.0
Независимые авторы,coinduck,khakery-vnedrili-kod-dlya-maininga-v-youtube,46.788897930844705,25-20,2018-01-29T02:58:06Z,29,0.0,0.0
Независимые авторы,populum,top-curators-2018-01-29-08-00-24,54.00403803706593,50-60,2018-01-29T03:00:33Z,29,0.0007259037334254141,1.834
Независимые авторы,tatyana54,plicy-v-nebo-podnyalis-segodnya-stayami,60.907743196611406,60-65,2018-01-29T03:09:00Z,29,0.0,0.0
Независимые авторы,vpervye1,odonata,66.35766882719405,65-70,2018-01-29T03:13:54Z,29,0.0035139440269088473,8.878
Независимые авторы,ksenia-v,krasnyi-ponedelnik-kazak,62.54595485125097,60-65,2018-01-29T03:23:51Z,29,2.6123035117817522e-05,0.066
Независимые авторы,botopolo,mif-o-nenasytnosti-milliarderov,43.78789176519307,25-20,2018-01-29T03:24:33Z,29,0.0,0.0
Апвот 50-50,privet,jsympjh5bu2jxcess14k9q,66.6425686104692,65-70,2018-01-29T03:28:57Z,29,0.009926753344770658,25.08
Независимые авторы,baharoma,prostoe-i-poleznoe-7-privychek-prodlevayushikh-zhizn,40.26403337556954,25-20,2018-01-29T03:30:24Z,29,0.0,0.0
Независимые авторы,unicornrider,otho-network-pravila-uchasti-vo-vtorom-raunde-airdropa-3-fevralya-2018,23.55297617216086,0-25,2018-01-29T03:31:24Z,29,0.0,0.0
Независимые авторы,golos.loto,5x36-golos-lottery-1446-7930,80.26991176069092,70+,2018-01-29T03:40:06Z,29,0.026541795286827388,67.058
Независимые авторы,maxx40,airdrop-ot-kami-100-kami-besplatno-za-registraciyu,53.393280469521734,50-60,2018-01-29T03:40:51Z,29,0.0,0.0
Независимые авторы,baharoma,beremennost-posle-40-za-i-protiv,40.2650403922851,25-20,2018-01-29T03:42:48Z,29,0.0,0.0
Независимые авторы,acidgarry,pokataemsya-pokataemsya,61.192220955533145,60-65,2018-01-29T03:44:24Z,29,0.0001274487470899582,0.322
Независимые авторы,kinoshka,bez-zvezdy-dzhennifer-lourens,49.927954934534064,25-20,2018-01-29T03:49:39Z,29,0.0005042537384863563,1.274
Независимые авторы,skvo,molodost-i-kolgotki,55.01641642682792,50-60,2018-01-29T04:04:39Z,29,7.520267685432316e-06,0.019
Golosmedia,psk,psk29012,68.11581568863241,65-70,2018-01-29T04:05:00Z,29,1.9886872929850892,5024.43
Vox Populi,vp-kulinar-club,itogi-20-tura-voskresnoi-kulinarnoi-viktoriny-transformaciya-ponyatii,73.20867996502841,70+,2018-01-29T04:07:39Z,29,0.03071000260236884,77.589
Независимые авторы,fggg12,kto-priedet-otdykhat-v-krym-v-2018-godu-i-skolko-turistov-ottyanet-na-sebya-egipet,24.049098897346347,0-25,2018-01-29T04:08:30Z,29,0.0,0.0
Независимые авторы,fggg12,obman-internet-kazino,24.049098897346347,0-25,2018-01-29T04:13:39Z,29,0.0,0.0
Независимые авторы,sergey.mutev,golos-io-kak-zarabotat-bez-pogoni-za-sg,47.09512162093529,25-20,2018-01-29T04:16:03Z,29,0.00017573678170168148,0.444
Независимые авторы,vsebudethorosho,golosozamenitel,58.60055172478032,50-60,2018-01-29T04:20:33Z,29,6.609919491932614e-05,0.16699999999999998
Независимые авторы,positivethoughts,1,24.442426774288492,0-25,2018-01-29T04:20:45Z,29,0.0,0.0
Независимые авторы,coinduck,osnovateli-litecoin-i-monero-dogovorilis-ob-obmene-tekhnologiyami,46.79235096913676,25-20,2018-01-29T04:21:30Z,29,0.0,0.0
Независимые авторы,neurogress,is-there-anybody-else-in-my-head-security-in-neurotech,43.072222695000974,25-20,2018-01-29T04:26:54Z,29,0.0,0.0
Апвот 50-50,metadon,artur-konan-doil-i-realnoe-rassledovanie,68.36739131010064,65-70,2018-01-29T04:28:48Z,29,2.351303914080451,5940.5830000000005
Независимые авторы,isotis,proekt-isotis-minimiziruet-riski-i-uvelichivaet-chislo-investorov,32.43908890820094,25-20,2018-01-29T04:28:54Z,29,0.0,0.0
Независимые авторы,snaiperok45,diw-ico-bezopasnoe-khranenie-dannykh,44.852077812383975,25-20,2018-01-29T04:34:48Z,29,0.0,0.0
Апвот 50-50,goldenbogdan,obmenyat-exmo-usd-ex-code-na-usd-c-komissiei-1-42-obmennik,61.20198906772205,60-65,2018-01-29T04:40:57Z,29,1.3061517558908761e-05,0.033
Независимые авторы,coinduck,yaponskaya-nedvizhimost-dostupna-za-bitkoiny,46.79239791314322,25-20,2018-01-29T04:45:45Z,29,0.0,0.0
Независимые авторы,olga-fink,a-vy-kak-dumali,66.10581559998018,65-70,2018-01-29T04:47:09Z,29,1.5832142495646982e-05,0.04
Независимые авторы,vp-cosmos,chto-takoe-zvyozdy,72.81484226818944,70+,2018-01-29T04:48:15Z,29,0.0005018789171120094,1.268
Независимые авторы,cosmogolos,my-ne-lenivye-a-ustali-ot-vpechatlenii-esli-chto,57.207428122273036,50-60,2018-01-29T04:51:48Z,29,0.0,0.0
Независимые авторы,golem7,fotokonkurs-makrofotografiya,55.861857189876794,50-60,2018-01-29T04:56:18Z,29,0.0,0.0
Независимые авторы,romanpushka,airdrop-cryptokami-50usd-za-registraciyu,34.9915920539209,25-20,2018-01-29T04:58:24Z,29,0.0,0.0
Golosmedia,psk,psk29013,66.3365689866515,65-70,2018-01-29T05:05:00Z,29,1.6182729459070588,4088.5759999999996
Независимые авторы,gresstyle,kit-muzei-svoremennogo-iskusstva,63.03764857288583,60-65,2018-01-29T05:05:21Z,29,1.5832142495646982e-05,0.04
Независимые авторы,robomed,robomed-network-4-7-iz-5,41.79799655872738,25-20,2018-01-29T05:06:12Z,29,0.0,0.0
Независимые авторы,rblogger,selfi-kradet-vashi-zhizni,75.11646137086109,70+,2018-01-29T05:08:06Z,29,0.21352414780316692,539.47
Независимые авторы,romanpushka,airdrop-current-100usd-za-registraciyu,35.13537583707618,25-20,2018-01-29T05:11:33Z,29,0.0,0.0
Апвот 50-50,vjazhi,vyazanaya-spicami-azhurnaya-shal-s-rombami-i-ostroi-kaimoi,45.67730480130068,25-20,2018-01-29T05:12:27Z,29,0.0,0.0
Независимые авторы,creoboo,your-steemit-account-has-been-approved,52.15101105399567,50-60,2018-01-29T04:03:18Z,29,1.0290892622170538e-05,0.026000000000000002
Независимые авторы,bogdan-anpi,stoit-li-igra-svech-ili-a-mnogo-li-na-golose-rybolovov,26.74205139827114,25-20,2018-01-29T04:06:21Z,29,0.0,0.0
Независимые авторы,svinsent,na-kovre-samolyote,69.73013894402312,65-70,2018-01-29T04:09:42Z,29,0.00012507392571561117,0.316
Независимые авторы,chudo-chudesnoye,vtugw-moya-reportazhka,54.38878150025788,50-60,2018-01-29T04:22:12Z,29,0.0,0.0
Vox Populi,vp-photo.pro,kak-snimat-faer-shou,75.20359847391447,70+,2018-01-29T04:26:00Z,29,1.2531900728144378,3166.192
Апвот 50-50,nerengot,fraktal-20-apvot100,66.51562281355474,65-70,2018-01-29T04:49:36Z,29,0.005156528810832222,13.027999999999999
Независимые авторы,nasnaga,odessa-kladez-otlozhennogo-sprosa-ruslan-tarpan,33.9121159256909,25-20,2018-01-29T04:49:57Z,29,0.0,0.0
Независимые авторы,habreplicator,chromium-utechki-pamyati-347746,67.47241808401934,65-70,2018-01-29T04:54:48Z,29,0.0,0.0
Независимые авторы,svetlana2018,zavist,26.978014680402488,25-20,2018-01-29T04:55:03Z,29,0.0,0.0
Независимые авторы,baharoma,polza-sushenoi-gvozdiki,40.282358971423506,25-20,2018-01-29T04:59:03Z,29,0.0,0.0
Независимые авторы,andrewgrachev,daidzhest-novosti-kriptovalyut-i-mezhdunarodnoi-torgovli-ot-29-01-18,31.655324263996278,25-20,2018-01-29T05:05:36Z,29,0.0,0.0
Независимые авторы,diimazavr,crowd-machine-samyi-prodvinutyi-raspredelennyi-kompyuter-v-mire-ico-live,59.02092057324603,50-60,2018-01-29T05:06:09Z,29,0.0,0.0
Независимые авторы,cryptoznaniya,poluchite-besplatno-tokeny-za-registraciyu-v-ico-wfee-airdrop,33.06790106039182,25-20,2018-01-29T05:08:15Z,29,0.0,0.0
Независимые авторы,baharoma,iogurt-dlya-pokhudeniya,40.28333794745486,25-20,2018-01-29T05:10:39Z,29,0.0,0.0
Независимые авторы,viktor2909,pogrebenie-grafa-orgasa,60.21940857258594,60-65,2018-01-29T05:13:09Z,29,0.02111968228563068,53.358999999999995
Независимые авторы,oliverbit,spisok-zhivykh-monet-na-segodnya-29-yanvarya-birzha-binance,42.83336914540487,25-20,2018-01-29T05:20:33Z,29,0.0,0.0
Независимые авторы,kive2k,taklimakan-network-investiciina-platforma-na-osnovi-blockchain,41.31683181567974,25-20,2018-01-29T05:23:36Z,29,0.0,0.0
Vox Populi,istfak,anton-pavlovich-chekhov-158-let-so-dnya-rozhdeniya-iz-cikla-sled-v-istorii,76.2963786107677,70+,2018-01-29T05:31:33Z,29,0.03422750886133921,86.476
Апвот 50-50,billibong,rossiya-razrabatyvaet-sistemu-obnaruzheniya-majnerov-no-podumyvaet-vremenno-osvobodit-ih-ot-nalogov-01-29,62.31184788079872,60-65,2018-01-29T05:32:09Z,29,0.0,0.0
Независимые авторы,kateevs,3bnywb-estafeta-cveta-krasnyi-ponedelnik,57.80211072814997,50-60,2018-01-29T05:37:27Z,29,0.0,0.0
Независимые авторы,maksh,khvatit-kormit-kitov-ili-o-situacii-s-kursom-gbg-i-golos,57.872287946806544,50-60,2018-01-29T05:45:24Z,29,0.00010370053334648774,0.262
Независимые авторы,r3benok,zatumanilos-v-gorakh,58.93513043992104,50-60,2018-01-29T05:47:42Z,29,0.0011304149741891945,2.8560000000000003
